0.080118520328676+0.000000000000000i,0.126463811496041+0.013939943144053i,0.157196838011477+0.053780879828286i,0.124997783709873+0.098204678042161i,0.064197820120700+0.059356149365548i,0.126676183304546+0.050000829949271i,0.001505445545473+0.220638608304467i,-0.272108445947238-0.059063267130808i,0.167977465618482-0.303449504397486i,0.269730370547987+0.239224524339882i,-0.239929868910569+0.183860919820778i,-0.097729688754915-0.183917828104683i,0.112094360635765-0.041860669380131i,0.015025416964403+0.056351906237725i,-0.024137433269964+0.004506562250387i,-0.000948502590275-0.008937281740834i,0.002790625341607-0.000000000000000i,-0.000278252556217+0.000586335873258i,-0.000237541221101-0.001065285213209i,0.002141024611891-0.002866199233488i,0.009742959455594-0.002332806450443i,0.020841173284789+0.009265914154229i,0.022222770551881+0.035590509775559i,0.003426630992401+0.063435411360351i,-0.027847506150588+0.079243185006288i,-0.065309785179753+0.082773745094735i,-0.108480504970073+0.062023987541717i,-0.127196540802610+0.004613065899374i,-0.088564320786328-0.052370485549575i,-0.020493910752567-0.059595131614975i,0.025602784828600-0.029062522825248i,0.048478020264582-0.005976733789615i
0.170584131231636+0.000000000000000i,0.149877891382144+0.093093022129173i,0.064104618149306+0.152546425414677i,-0.034658475847982+0.139196607980744i,-0.074972127937138+0.072039202492260i,-0.060650161127099+0.040303340015295i,-0.082919480413403-0.000546974805668i,0.006816269732449-0.070956577215845i,0.051359864524498+0.055980394305185i,-0.077801326727831+0.015836646831928i,0.023333290089033-0.052432790778464i,0.006483872845218+0.034415110733785i,-0.017015257421922-0.022914578557767i,0.024368635420400+0.003259526085511i,-0.010381535453170+0.012720521480413i,-0.003432371573863-0.007609305631709i,0.003281224970397-0.000000000000000i,-0.000458337780710+0.000873103580302i,-0.000040786992287-0.000509454830381i,0.001206340433890-0.000117931223920i,0.001705940132952+0.002932800021241i,-0.005049721105400+0.007282002654594i,-0.020336314283960-0.002887441873861i,-0.014748701475725-0.038338521087377i,0.042148449254132-0.055143606391925i,0.097458659576943+0.006341770895425i,0.058829613160607+0.096517745305882i,-0.043718275072835+0.097451964937069i,-0.087204702790148+0.006294216530828i,-0.036945372549063-0.076475498756925i,0.048668432710619-0.099688155578583i,0.126116949736219-0.071888961709143i
-0.010478684945761+0.000000000000000i,0.005841895630564+0.006908445532460i,0.021140218372785+0.023842102732409i,0.027759943974611+0.039865384016740i,0.011366164817209+0.065417298690871i,-0.054616476276813+0.019095241224374i,0.063083570440568-0.073655432388796i,0.091301558659004+0.189135956936005i,-0.318831657878233+0.018428329852447i,0.148357263364496-0.379215353404668i,0.306426045842317+0.313816471511381i,-0.368446402486309+0.138673802800401i,0.012657069688842-0.292677815115407i,0.163124791458574+0.076087627413322i,-0.066595640710438+0.062022011866616i,-0.013740848600870-0.035176050718196i,0.012820825610693-0.000000000000000i,-0.001367770831082+0.003230058265389i,-0.000467688150206-0.001162106863663i,0.002225092721685-0.001378966487045i,0.007608413520129+0.001372253052894i,0.012564325346329+0.014489477684995i,0.003660676381747+0.037425656024918i,-0.024384209069532+0.053259484283466i,-0.055454918323209+0.051395179301298i,-0.080043207738569+0.042284593699432i,-0.105820321307219+0.023543998708999i,-0.116168415976525-0.019392676389816i,-0.084032879444298-0.061399536675842i,-0.032601271154602-0.061411614850168i,-0.007770165540192-0.029473409967691i,-0.010879439443251-0.005605798249270i
-0.235710849668510+0.000000000000000i,-0.247263856982836-0.125944161207398i,-0.155271947870415-0.227622036964453i,-0.013493985988180-0.237155152543950i,0.081429286021868-0.136725545081024i,0.034072870990399-0.048951569038294i,0.036116119589496-0.110897841718138i,0.179118670290946-0.004190571895884i,-0.003008950020977+0.211169637405783i,-0.236840702787599-0.030448265832071i,0.056015362766836-0.238153564795934i,0.201769295268779+0.076080950630015i,-0.081645795287767+0.137621943494247i,-0.071908277435901-0.067263225078138i,0.041909678680810-0.026810007315712i,0.005958731767913+0.019661883454349i,-0.006906119226470+0.000000000000000i,0.000643132109885-0.001728159245282i,0.000214613542641+0.000784928320780i,-0.002181810890244+0.001140917601590i,-0.008094467535432-0.002923417267049i,-0.010563642900188-0.023284588174823i,0.021775352692099-0.058554559938724i,0.113042302973661-0.053940960011294i,0.195846425781844+0.063895033072214i,0.133757531671320+0.243740138926571i,-0.074223414353391+0.298965524856232i,-0.230440476696251+0.158093022951685i,-0.202357309161982-0.012721057972043i,-0.093753874940571-0.047864534753203i,-0.065615516258752+0.020120500419326i,-0.142950181502116+0.059717127537600i
0.234597306310011+0.000000000000000i,0.274926060593120+0.065834358563129i,0.253276749819552+0.131190322952571i,0.167596828208165+0.161442154350603i,0.071273673862493+0.103855914588686i,0.101774452722267+0.053668529447150i,0.025898975171562+0.190376826564743i,-0.249080430422365-0.009430429875926i,0.107129290039183-0.309416574827876i,0.305796629588616+0.195471749487524i,-0.230660421721129+0.228078239212116i,-0.126474969764142-0.199442026267151i,0.130843363597398-0.050332876617652i,0.013244465027267+0.066523330351915i,-0.026818472135500+0.001819053843381i,0.000016397044628-0.008887037886725i,0.002632152144261-0.000000000000000i,0.000367168476997+0.000991062675464i,-0.000127086141478+0.001970017130384i,-0.004634515687054+0.004621953661881i,-0.017881491091955-0.000583428470374i,-0.025358950197914-0.030830284691362i,0.014483040350187-0.072392427726348i,0.103806561935116-0.050575017879940i,0.137934332410768+0.072348677666850i,0.029968012006715+0.179309463645834i,-0.118577140859123+0.135602519212814i,-0.147738742906147-0.000169140584370i,-0.064603374061552-0.080636357372539i,0.025726626252856-0.080129002060818i,0.091432344478012-0.059513535404036i,0.160914421018104-0.039999163889722i
-0.238421841948134+0.000000000000000i,-0.226291242133631-0.052534199754094i,-0.167807096108480-0.080602117504909i,-0.086669428351261-0.074092733814445i,-0.030605957538713-0.025567884024049i,-0.046976825572505-0.014288000402672i,0.015911468577892-0.065422719711739i,0.073842346651830+0.052950657928917i,-0.083449500629501+0.057714983325591i,-0.018011105441026-0.085313031248904i,0.056937842832968+0.016112953531655i,-0.026135066573548+0.020281485457720i,0.002213730263479-0.018093851763070i,0.007427439454768+0.007544526396140i,-0.005030902270232+0.001776740020301i,-0.000195883453757-0.002109378911861i,0.000619761091100-0.000000000000000i,-0.000262228609248-0.000017767311014i,-0.000372342462365-0.001445132611856i,0.002469212595259-0.004616187354246i,0.014159715296079-0.004937841842367i,0.031793528996888+0.015432686253535i,0.018892566749152+0.066972608360713i,-0.069151202011909+0.095608270054606i,-0.177768250407930+0.002246482283589i,-0.147572487707568-0.187386172074777i,0.055900243065472-0.270047702558843i,0.227991680423891-0.133490842927545i,0.195975447884186+0.069500516343064i,0.032168597054664+0.155172963336436i,-0.114407792200487+0.124502953786070i,-0.200197970128651+0.061296601353494i
0.043579051174270+0.000000000000000i,0.079787194310544+0.049620101160905i,0.080689867411136+0.101339923439390i,0.051048808101757+0.123030040283662i,0.008001968304170+0.101084981960434i,0.001710702343625+0.036548991005217i,0.056952481855540+0.054439437940967i,-0.080055756837034+0.128709968168975i,-0.160315090138409-0.162878277284061i,0.270496980160734-0.147744918323301i,0.077236537791847+0.331656912561848i,-0.305926410289913-0.016189431729755i,0.076075126436304-0.212278103606082i,0.108776848401974+0.081426639528489i,-0.054407113989955+0.039149044365739i,-0.008374570765086-0.025732180107125i,0.008836853794751-0.000000000000000i,-0.001192411254957+0.001917527635476i,-0.000750523023756-0.002788582903586i,0.005031770037714-0.007248709521237i,0.024382777846281-0.005533674827316i,0.050330300529992+0.029930996931645i,0.028220448936489+0.109121198459946i,-0.094475453296011+0.152814659864883i,-0.235965020232766+0.043708106929271i,-0.213109444987262-0.169605691669413i,-0.009849556137001-0.264626186721897i,0.158509475925225-0.150244710411625i,0.146789598459324+0.012146187812222i,0.041951273328050+0.064606170044133i,-0.018866872355312+0.026144478336873i,-0.004575072656057-0.010887130336523i
-0.186159383794984+0.000000000000000i,-0.200308020177887-0.039594673384329i,-0.181074528390731-0.078378042659264i,-0.119928344145735-0.097971501775745i,-0.056257607513431-0.066597659034225i,-0.055930300297597-0.052431018686309i,0.028679881741914-0.093390249476522i,0.091916674211742+0.077231947386114i,-0.150225203757694+0.064037196039936i,0.003711455375370-0.186308868626648i,0.157718664549726+0.079214025658275i,-0.113878402275358+0.084873916575525i,-0.016630276012496-0.096139932164944i,0.054608161481097+0.016282354227113i,-0.018804158836411+0.020809958686543i,-0.004583505922502-0.010568870948061i,0.003935354473253-0.000000000000000i,-0.000323533501737+0.001046068243456i,0.000240181131871+0.000157600304326i,0.001226877538784+0.002171593728768i,0.000090979537443+0.009895216193930i,-0.016728821339291+0.027693576009153i,-0.078206851533325+0.035877525534273i,-0.181884622245193-0.036241806918512i,-0.215596669693078-0.242050148980227i,-0.031151066587508-0.458806420068157i,0.299897891027135-0.436518822356492i,0.473846815455485-0.140310194398880i,0.340638863499986+0.152816578480198i,0.081166828152773+0.224002725692325i,-0.090730784943774+0.139484840863358i,-0.156598848430615+0.050702589133852i
-0.436098006421401+0.000000000000000i,-0.472531199132662-0.116889814093723i,-0.403819068967201-0.205002206651016i,-0.265099335743614-0.218685951845764i,-0.144706945455412-0.151899282144005i,-0.096835846122196-0.118831766556405i,0.037599606397137-0.105967139425912i,0.052579245901692+0.096754157567569i,-0.164690162492349+0.020658161969638i,0.015656376149359-0.169606350924952i,0.128231324141493+0.037452096147499i,-0.029478724084365+0.077256063547228i,-0.042292153287218-0.009603195924194i,-0.002132129157874-0.024698838181040i,0.014892428842368-0.003445055582767i,0.001303704924389+0.007801485891345i,-0.003157077531086+0.000000000000000i,0.000395096379749-0.000894473154264i,0.000778762664207+0.000837725333505i,0.000642965281614+0.003490352063736i,-0.003215973194883+0.011147998056012i,-0.022933784576773+0.023014136560329i,-0.073808597809241+0.018866606699344i,-0.140711518384103-0.046372812727207i,-0.144848253626630-0.188150151505090i,-0.011158207390025-0.312081873569197i,0.191798222850909-0.275405400252706i,0.282053654691742-0.080880805754176i,0.185935692460219+0.106402873536274i,0.002371354848303+0.173562303145579i,-0.169696528049673+0.152008903544034i,-0.318856172222513+0.093649962602876i
-0.050567502097298+0.000000000000000i,-0.030625778020848-0.049021350615223i,0.022388060576043-0.066154045567574i,0.049807129882058-0.040000235901992i,0.051036739744817-0.037730560989000i,0.103525304333627+0.013061369487331i,-0.030801219213154+0.132806312996359i,-0.155327252386651-0.116884480574903i,0.206693714674530-0.144338059431678i,0.085744518417801+0.243487814299759i,-0.210217428964575+0.018226911954566i,0.017819531352782-0.137106933519727i,0.069759117076843+0.020040166200552i,-0.009812118565103+0.029613358937621i,-0.011713559934567-0.002550639370650i,0.000248307541120-0.004640442320130i,0.001741169283702-0.000000000000000i,-0.000018458106117+0.000588544276751i,-0.000228389669829+0.000267918568959i,-0.001416278380760+0.000779572202367i,-0.006444614013915-0.001501716951966i,-0.011983890614079-0.017331526947796i,0.007014838778249-0.053044623250411i,0.083584383665651-0.070383565628026i,0.180265189753287+0.008013965522376i,0.169573461539328+0.172546390502150i,0.006287121427295+0.263919485228969i,-0.154719776256899+0.175057358040672i,-0.161681748951402+0.020621209864394i,-0.069093659728241-0.038096390359844i,-0.014036841474965-0.002982236591690i,-0.028212234623130+0.025807710731353i
0.036304027604542+0.000000000000000i,0.082658703907142+0.027165180086899i,0.100987891799048+0.065236774434197i,0.092069949867787+0.088053144101928i,0.057575296291287+0.102863563254275i,-0.015195407775435+0.056914296363425i,0.047929772818811-0.028614521435256i,0.059620895502900+0.131901443132172i,-0.201969738661029-0.002195758406209i,0.134437621736387-0.229565632635522i,0.167930179394059+0.254713178251384i,-0.287089573470447+0.048172045199167i,0.049515474683320-0.223339958328665i,0.123038572754023+0.080210605597863i,-0.061044053042418+0.046516701021035i,-0.010297043608499-0.030925582248612i,0.011242193509092-0.000000000000000i,-0.000967989255029+0.002939266507372i,-0.000125982829689-0.000588276507296i,0.002485032154209+0.001136878433652i,0.003635958797809+0.010316359903804i,-0.013252581459675+0.031977223364404i,-0.077864805454013+0.038771687823294i,-0.170282109641682-0.042232461841340i,-0.168871283362099-0.231019113072727i,0.021895539839351-0.378602360093896i,0.276161452088373-0.302235375420879i,0.356164906799397-0.054399525073778i,0.222919993784933+0.131120182412587i,0.050323365626361+0.143894480616333i,-0.026879923788428+0.068094170575343i,-0.013424522944372+0.009633322900743i
