0.090136172080916+0.000000000000000i,0.114401463091350+0.007077233148813i,0.128829131476513+0.019394279040536i,0.128094831380518+0.033332578598086i,0.112099201775064+0.043604473112397i,0.086545154426810+0.046439663831557i,0.058933857904190+0.042927933582593i,0.031741943345591+0.034378057323329i,0.013792620845514+0.015212081036335i,0.023573728937145+0.006717201558987i,0.010896515190373+0.040741582496073i,-0.063867722127165+0.009966959241891i,0.002080294181669-0.107648187041680i,0.163237846730414+0.023604682799170i,-0.058417271199741+0.218371254043034i,-0.260192543175980-0.103458076793036i,0.148317361617446-0.276758493311363i,0.262851653605464+0.180187030044014i,-0.189711770615375+0.223056868239546i,-0.169326599877618-0.175317539334981i,0.143402734739550-0.115183460533835i,0.070386126991998+0.104482953557295i,-0.068175802349019+0.038768519268613i,-0.019327656894160-0.040038396394747i,0.021265281619754-0.008760270460607i,0.003622540785089+0.010261442763771i,-0.004517340045567+0.001367451234714i,-0.000468878329158-0.001820173257801i,0.000672597853697-0.000144050406684i,0.000038556957564+0.000228025640574i,-0.000070840547857+0.000008473386228i,-0.000001291467416-0.000020108888630i,0.000005129967315+0.000000000000000i,-0.000000400623412+0.000001020273659i,-0.000000964921496-0.000001580424052i,0.000000951565058-0.000006971802624i,0.000016665656016-0.000020006103898i,0.000083142687567-0.000027832992878i,0.000260054928326+0.000059142793164i,0.000529777405131+0.000505701860068i,0.000501527017181+0.001744664489154i,-0.000952921956543+0.003947639014607i,-0.005525183383709+0.006064118322172i,-0.014089175573588+0.005109567796448i,-0.024675686479558-0.002826667232807i,-0.032004257007674-0.019638171714757i,-0.029990855502040-0.042774743137363i,-0.015220524422581-0.065897483880807i,0.011706074678097-0.081448969798506i,0.046307576128795-0.082282846132055i,0.079431706638937-0.063437174906546i,0.098015371503347-0.026784801054568i,0.092004216450388+0.015330135336318i,0.063525145118815+0.045269002098725i,0.027362445320555+0.052458265191390i,0.000132609375791+0.040588116817302i,-0.010969610014631+0.022368601462194i,-0.009447897083818+0.008655483651058i,-0.002591496163256+0.002719781052324i,0.005032283666964+0.002050525980904i,0.013184159131171+0.002741758950135i,0.024220840360688+0.002258976049584i,0.040744398909640+0.000261139957335i,0.063561304716802-0.001489359243049i
0.138861798179262+0.000000000000000i,0.135356563582949+0.039743373983597i,0.109549643143727+0.074058997120806i,0.069799165336394+0.092125321313148i,0.029145358345790+0.090390624332248i,-0.001326165535353+0.073496078207554i,-0.017351302185147+0.050550305497161i,-0.021268786383558+0.028916197970835i,-0.016192769769704+0.012813113359549i,-0.008907764642188+0.007811334398173i,-0.012217819838769+0.004664906959596i,-0.006065410832126-0.012638041622647i,0.021119426028391-0.000309841132445i,-0.008443382120729+0.032928538908578i,-0.041283916896705-0.021828081993360i,0.038518849286283-0.041890799027731i,0.032583481469653+0.052869468386553i,-0.058595446454482+0.015119968525479i,0.004583913019310-0.052626442327597i,0.037104914297595+0.019515454046820i,-0.025503804944086+0.018178903161133i,-0.002372601418793-0.023021544546436i,0.015880453544038+0.006722383964321i,-0.009296742486305+0.008348973494930i,-0.002984394781054-0.007849749281452i,0.005091807048492-0.000248018404047i,-0.000628591182673+0.002696067835714i,-0.001189485499900-0.000622153179637i,0.000382584409153-0.000438187561308i,0.000132772220504+0.000182444837940i,-0.000071858891370+0.000031549185034i,-0.000004982751139-0.000023995918602i,0.000006853492710-0.000000000000000i,-0.000000451465190+0.000001619993683i,-0.000000465692314-0.000000700834801i,0.000001144490516-0.000001854482233i,0.000007047820668-0.000001822458435i,0.000020104740667+0.000012064887499i,0.000015069539327+0.000069656216185i,-0.000117867398059+0.000168583755822i,-0.000555756756409+0.000083620188990i,-0.001154097435402-0.000856269856126i,-0.000580388316148-0.003344980970899i,0.003922592867627-0.006200807038595i,0.013811368385302-0.004144602463386i,0.023586008729474+0.010175745582022i,0.019034916374849+0.036787204627810i,-0.011907656833749+0.059242637813581i,-0.060761612142991+0.051672645094275i,-0.095187895407869+0.004164717082590i,-0.084350499591790-0.059159606499972i,-0.030654110455341-0.096110609297993i,0.029582584702641-0.084430663723473i,0.059552262642683-0.040157612975919i,0.051957832492820+0.002052509521667i,0.026228009257603+0.020410986065476i,0.004579410780238+0.016361663706318i,-0.003921704756880+0.002205808778125i,-0.001077737608212-0.013305111019447i,0.009842055353632-0.028094401747575i,0.028631997625406-0.041774926861253i,0.056021512024781-0.051047201876162i,0.089376421276716-0.049696850903160i,0.120687895539694-0.032511670865883i
-0.000764611114587+0.000000000000000i,0.010397945826469+0.003234702045804i,0.020365697222345+0.009733371014055i,0.025659398231748+0.017334712210214i,0.025007943614883+0.023046145621174i,0.019575477810849+0.024712362080919i,0.012435798786591+0.021534536369905i,0.007952347135422+0.016284328411958i,0.002923179718934+0.014962437150981i,-0.009101722874784+0.005564193843849i,0.005421278571399-0.016844414567696i,0.036150087672492+0.020544362839980i,-0.047808834825948+0.057871717644350i,-0.076070479491115-0.096271197836921i,0.165577002238902-0.080871414306836i,0.060175014018470+0.245015274612317i,-0.314605256862080+0.008556146096567i,0.066134965360868-0.351557616374657i,0.341411187170203+0.143487803822159i,-0.199378591149163+0.286456265654965i,-0.204993159211918-0.217991307078570i,0.198991709025838-0.121721513075423i,0.055998970184409+0.155454247516903i,-0.105173331738838+0.015364338215825i,0.003298742554715-0.061972223976783i,0.031859815213990+0.008103917435174i,-0.006766732465949+0.014269440056504i,-0.005539007186378-0.004077264728474i,0.001993208503800-0.001843091892440i,0.000514003212007+0.000823704098885i,-0.000293194848208+0.000114006218912i,-0.000016983088807-0.000090742428965i,0.000024498887515-0.000000000000000i,-0.000001243834484+0.000005680870678i,-0.000001461261265-0.000001404432855i,0.000001607467061-0.000004191353352i,0.000013727041914-0.000009506464602i,0.000059353844071-0.000001045410187i,0.000161649448844+0.000100744454820i,0.000241029139765+0.000494570311201i,-0.000130740425602+0.001423190855629i,-0.001942032154562+0.002713302846138i,-0.006343006015265+0.002961700458445i,-0.013184130553053-0.000748235423306i,-0.019385671584843-0.011296700518399i,-0.019435523250375-0.028467399630451i,-0.008908330314391-0.047390749956416i,0.012035349880834-0.060944610432024i,0.038944153685342-0.063789087634308i,0.065851458971475-0.053630770432959i,0.086111238218933-0.030377999906838i,0.092028255021558+0.002402870553942i,0.078406617121184+0.034957529618867i,0.048818955921626+0.054514021531106i,0.015940549018229+0.054351370063674i,-0.007066291819525+0.039195049541081i,-0.015578248249201+0.020574523897461i,-0.014161627577625+0.007633067173584i,-0.010333741823732+0.002538136623484i,-0.008852865056978+0.002450073663750i,-0.010348540138489+0.003579714723118i,-0.012767904319119+0.003576868473495i,-0.013192052593821+0.002026886253933i,-0.009325031008141+0.000143004077413i
-0.219975847528601+0.000000000000000i,-0.228271925577943-0.055974822147565i,-0.202787727870067-0.107950808465530i,-0.151407153784441-0.139599097574831i,-0.090924218032958-0.143195389666923i,-0.038674456418571-0.122578553623658i,-0.004467855952577-0.090100519477405i,0.013246737926861-0.057401388376170i,0.017239570129120-0.026993129267044i,0.003504662737652-0.009627709617892i,-0.000206605381652-0.022746806399739i,0.036631527124823-0.012459123763854i,0.015474226695715+0.056165019011189i,-0.086998636767263+0.015559570342858i,-0.014784792213973-0.123422951466136i,0.159083469367716-0.011774920286971i,0.006235514199807+0.188012439362800i,-0.204506813181904-0.001206723164527i,0.009682783864159-0.204766958006722i,0.188341390508979+0.017937077319234i,-0.024291328103671+0.158511536812543i,-0.121438931043685-0.027201294675623i,0.026084714824019-0.084206394313820i,0.052539236282056+0.021712572479543i,-0.015792583287979+0.029324984018832i,-0.014553504555616-0.010077981451046i,0.005658651360905-0.006377530136602i,0.002445396954804+0.002801564132932i,-0.001224985701733+0.000809257956551i,-0.000225540624887-0.000473578290698i,0.000161982625310-0.000050164761356i,0.000007513820880+0.000049023279768i,-0.000013093897645+0.000000000000000i,0.000000619611358-0.000003001643123i,0.000000863419946+0.000001012699671i,-0.000001453121882+0.000003596587137i,-0.000013126166722+0.000008115858593i,-0.000057751033857-0.000004119575323i,-0.000152639651529-0.000125845379141i,-0.000164061415983-0.000592037800867i,0.000568119711816-0.001636452005393i,0.003560280198884-0.002638920529823i,0.010271362560836-0.000451771604716i,0.018481838398375+0.011223519095710i,0.017514668161903+0.037308827569902i,-0.010229695949218+0.070452744459123i,-0.073865981335318+0.083421182893254i,-0.152381165903615+0.041799434724360i,-0.193415988587243-0.061696099363893i,-0.149898812128384-0.182704647040953i,-0.028220704218565-0.247637444208211i,0.105521588150898-0.213491169262770i,0.176824642920658-0.106003051579876i,0.161703976982237+0.005064834504852i,0.095027521266642+0.065412665071246i,0.029304514957196+0.069635868453501i,-0.006815344049476+0.046666437029788i,-0.016227148353623+0.026518021791962i,-0.016327769933987+0.022332926332822i,-0.022596173340830+0.032640234346735i,-0.043444413525274+0.049638482366336i,-0.081001717810790+0.063549361455261i,-0.131163820237953+0.064045153704310i,-0.182822985283266+0.043131665103351i
0.220856975859090+0.000000000000000i,0.242382229298826+0.028955186498710i,0.237813571653487+0.057888619598630i,0.208354319110146+0.078331240059509i,0.162699251991270+0.084908877858472i,0.113250135602671+0.077671481938110i,0.070292115516444+0.062344835785637i,0.036137729581765+0.044517798826134i,0.014588936792139+0.021516378859181i,0.019455364057720+0.007833374576687i,0.013027873293005+0.033677064394108i,-0.052148669478334+0.016617058068966i,-0.012240473256206-0.091967493579370i,0.146403403882851-0.001323839079540i,-0.022359100646612+0.205638397529186i,-0.257525899892339-0.059672017714369i,0.104002542963002-0.287878671780169i,0.286894148029761+0.143801049848822i,-0.167260650705536+0.254539793810398i,-0.200696244468900-0.167843813271542i,0.147233239150859-0.140285328858190i,0.086641668549589+0.113775743514385i,-0.077838090076243+0.047063560766995i,-0.022338515611037-0.047309064443305i,0.025614513263829-0.009175933540170i,0.003212860252873+0.012384467632456i,-0.005360816879305+0.000934146195943i,-0.000213976641990-0.002083905869438i,0.000730354450049-0.000033521011829i,0.000001379009239+0.000231975649036i,-0.000067211109680-0.000001016303406i,0.000000314660109-0.000017916533583i,0.000004566954421+0.000000000000000i,0.000000644253743+0.000001422922539i,0.000001068134028+0.000003040637772i,-0.000002467618738+0.000012967697318i,-0.000033852274013+0.000034223057606i,-0.000155170608058+0.000030332271611i,-0.000430197969135-0.000187240868222i,-0.000657571879166-0.001073270080596i,0.000211431421560-0.003048146399597i,0.004318844814604-0.005149444402651i,0.013059125112982-0.003104107720482i,0.022312118762292+0.009903971212038i,0.019113656405000+0.035783797470219i,-0.011162106554185+0.060829103766430i,-0.065744123797382+0.056634813944182i,-0.112220359162834+0.003558198180550i,-0.107164005908352-0.080343647858956i,-0.038040995072928-0.141952745211331i,0.056292857863051-0.136614262150501i,0.116111903967763-0.069937038536067i,0.112638868433172+0.009044167114204i,0.065962158945562+0.054057233842816i,0.016807134114626+0.055427470658582i,-0.009616788508474+0.033350573787208i,-0.013112026712695+0.010643219403996i,-0.004705768925485-0.003559672911712i,0.008041934558426-0.011608763607217i,0.024999434343485-0.018371128770534i,0.049932840844614-0.025674712326827i,0.085777666074982-0.031476324003981i,0.131359959728769-0.031412960286048i,0.180040497752369-0.021316289616980i
-0.188652115657591+0.000000000000000i,-0.187210090943490-0.021000442898667i,-0.164806514856314-0.037268927922929i,-0.128455121311740-0.044248436682747i,-0.088403483887061-0.041487959944902i,-0.053704737922000-0.032251394229035i,-0.028748887489065-0.021694858140222i,-0.012112540546083-0.012533918306631i,-0.004269671409653-0.002840886686629i,-0.008217616928541-0.000943197983823i,-0.000964908104335-0.013502797630420i,0.022518965603023+0.002807158854075i,-0.010549681535805+0.034973632971643i,-0.046936669706733-0.023229627332304i,0.039903705675107-0.054312546361569i,0.053345097235819+0.056545536751920i,-0.067727936524709+0.042943584913519i,-0.025964468113257-0.069205978342102i,0.060327971919133-0.007956258327537i,-0.005736295905143+0.044475757373354i,-0.027104236106106-0.012510550158088i,0.013075654576890-0.012879754110571i,0.003879042230292+0.010096684350610i,-0.006285845680485-0.000347379941310i,0.001511702409731-0.003248632564610i,0.001405887210104+0.001306434809861i,-0.000787041971366+0.000507801485762i,-0.000150793748580-0.000381141265989i,0.000156013155379-0.000035586302393i,0.000006175974432+0.000055432122824i,-0.000017427492507+0.000000626175393i,-0.000000012491082-0.000004922144062i,0.000001170906629+0.000000000000000i,-0.000000457916107+0.000000033222851i,-0.000001267278535-0.000002167695365i,0.000000380749920-0.000010277179706i,0.000021205847609-0.000032069437546i,0.000118189032520-0.000054594697699i,0.000395604884160+0.000051422514691i,0.000846007837072+0.000713607808707i,0.000789590424412+0.002668538156569i,-0.001921000198147+0.006054482631628i,-0.010464256819892+0.008033567367278i,-0.025001726471992+0.000780735754287i,-0.035717994401206-0.024788799682509i,-0.021480212366090-0.066178648945730i,0.034767575300183-0.096848678982905i,0.119004740851209-0.075443225632544i,0.177759934625208+0.016523995472162i,0.153828732271253+0.141005247596217i,0.042590631532455+0.219984518473608i,-0.092435641885538+0.199688129422850i,-0.170342387996282+0.098719670898987i,-0.159558701521626-0.011912514501895i,-0.092868317409906-0.072266760893402i,-0.025790606348937-0.073001783795089i,0.009084114745955-0.042326606901719i,0.011700926481948-0.010280243882580i,-0.003985238622653+0.010931168379335i,-0.028041802723184+0.023164727486345i,-0.058311014505900+0.030751843166930i,-0.094865977908117+0.034221618430272i,-0.134382916746810+0.031002009525359i,-0.168872318201342+0.019094489539017i
0.066263279243406+0.000000000000000i,0.084455453142162+0.022944815536163i,0.090961116637379+0.046842095830001i,0.084153973256664+0.064274079466849i,0.067315391675561+0.070343985649262i,0.046602352505334+0.064786694980768i,0.027951276831817+0.051566768081231i,0.014083318820698+0.036502347645905i,0.004095983496418+0.022118934085314i,0.001913463267715+0.007536441785698i,0.010735636855399+0.006982911884247i,-0.004728344597081+0.024571268070681i,-0.041596026014740-0.012195395718418i,0.030697867623166-0.069008641177570i,0.102954897502286+0.061031414049095i,-0.104095681825806+0.135259207642069i,-0.156094694907148-0.155138703120843i,0.203133590949473-0.157008257775333i,0.135600797796176+0.234612060910112i,-0.239672486540624+0.097679105638191i,-0.054731298698676-0.216923946240913i,0.174090843259502-0.018313531540324i,-0.004928987480876+0.123897677967451i,-0.078142445006350-0.014732454337071i,0.015169470989319-0.043610429859045i,0.021479294135260+0.011313797448286i,-0.006868586133719+0.009295780186956i,-0.003509776131417-0.003537084157973i,0.001574895617204-0.001141908959580i,0.000312699357127+0.000612500277904i,-0.000209271498976+0.000068347033449i,-0.000010086373009-0.000062997746048i,0.000016567653322-0.000000000000000i,-0.000001405433833+0.000003448945010i,-0.000002654221146-0.000003999941907i,0.000001795942540-0.000017238933490i,0.000039403333321-0.000050627597964i,0.000203878256830-0.000073678566046i,0.000647059002754+0.000144130480753i,0.001293418276539+0.001301425503552i,0.000954465469158+0.004498052478444i,-0.003761218713195+0.009736845772225i,-0.017487402197627+0.012466065934698i,-0.040060948247504+0.001228991015675i,-0.057388615516300-0.036326095365563i,-0.041203204388303-0.096191972605600i,0.029749632460602-0.143772933157578i,0.137328085748807-0.128261456183836i,0.217948602128339-0.028450529214105i,0.206968729154376+0.112075095035309i,0.099590851366131+0.208464024971203i,-0.037967911342236+0.204523815435100i,-0.124524675587624+0.118361351566164i,-0.128867807163836+0.017803382166929i,-0.080176286755799-0.041493863134307i,-0.027239415502018-0.050472294597804i,0.001964765022862-0.032977496380955i,0.007553318739380-0.014551862284967i,0.002133049846972-0.006296383198542i,-0.003483194932817-0.007498765010003i,-0.003762253586220-0.013526593386888i,0.003740567852666-0.019736138922392i,0.019718257493902-0.021746488188721i,0.042292369014733-0.015705696764710i
-0.157180859772675+0.000000000000000i,-0.170410143059314-0.016196491379417i,-0.166035907572645-0.033199529740280i,-0.144796461727422-0.046056791389448i,-0.112500571303716-0.051092032906214i,-0.077605087512255-0.047710874369908i,-0.047223630226435-0.038853627455205i,-0.023736214330485-0.027551867033309i,-0.010313422200578-0.013747137574040i,-0.011027830494171-0.008104984796218i,-0.000480264987651-0.018676205824289i,0.026448264171360+0.004384062837879i,-0.018710536780227+0.042370396659589i,-0.060323522179712-0.041532240958313i,0.073933620425080-0.072626650507746i,0.072598757469629+0.111733812836584i,-0.145406659700280+0.056370144157912i,-0.026093115009885-0.164159522564545i,0.161223451471035+0.009724327102903i,-0.040023439991028+0.137538034625871i,-0.101275384598702-0.056679130124704i,0.057972986934283-0.063472499503379i,0.032843965352068+0.048081813028298i,-0.033653066080804+0.012973569906193i,-0.002809784845884-0.020224115212835i,0.010514065439213+0.000940974224928i,-0.001533447394780+0.004736490620802i,-0.001842808098233-0.001087018380957i,0.000569529026023-0.000613162267844i,0.000170720259247+0.000243774861444i,-0.000088411326976+0.000037762104175i,-0.000005598920143-0.000027627683836i,0.000007527851633-0.000000000000000i,-0.000000207027278+0.000001827224152i,0.000000206601658+0.000000328654623i,0.000001734661322+0.000002825291588i,0.000002409331662+0.000013934505848i,-0.000011700438033+0.000054215656403i,-0.000116760109454+0.000162770421163i,-0.000574696505131+0.000324712675332i,-0.001970175043164+0.000117082880184i,-0.004890787644257-0.002139407817431i,-0.008132975846521-0.010194888756657i,-0.005083842746014-0.028307220142457i,0.018354239550247-0.054221697858933i,0.076395519829097-0.068857747524630i,0.162912285651787-0.035960661072460i,0.233238315726375+0.073038922549577i,0.218798461714717+0.238207322524610i,0.082738585423447+0.377810318961476i,-0.129203135547005+0.397509960528936i,-0.305743603877807+0.270664347708493i,-0.354115450145788+0.068473738308839i,-0.271226196084062-0.097095899474952i,-0.132760146269309-0.160140650779065i,-0.021583443571527-0.133630773614111i,0.027829141811676-0.072876897243091i,0.028665813301259-0.022749374808321i,0.008624689093449+0.003451197585033i,-0.015179079772323+0.013062863167672i,-0.039522289057397+0.016299239446668i,-0.066962049064812+0.017784762733185i,-0.098478787017622+0.016969971434344i,-0.130781597461264+0.011483690829857i
-0.386358587747777+0.000000000000000i,-0.409119406725765-0.049236435590588i,-0.387334400144314-0.093143558986504i,-0.328274887673931-0.119188202346454i,-0.249367840166655-0.122335728231187i,-0.170156726558943-0.106378345157924i,-0.104319921036154-0.080834867511918i,-0.056272166390588-0.053717002480204i,-0.028697608085147-0.028691690248262i,-0.019623902370464-0.018471197632546i,0.000773059044274-0.021597482619434i,0.021616699092574+0.011930249981632i,-0.033061317063508+0.034017194989905i,-0.046247093011849-0.058333757993951i,0.088790018073580-0.051507060573079i,0.048012369929011+0.118674632804365i,-0.139007114937385+0.036200799446878i,-0.019899299264206-0.143292624311360i,0.130627021831877-0.004884392959179i,-0.004430667486271+0.105887995762208i,-0.076918228397478-0.007112804968061i,0.005300363207276-0.050654196189159i,0.030739593263057+0.002111159191258i,0.000283247932914+0.017531137650308i,-0.009561933771583+0.001261202917745i,-0.001224743410155-0.005024821986851i,0.002527080879264-0.000805541798299i,0.000410498359775+0.001196006783537i,-0.000522661232118+0.000168247611564i,-0.000055479531674-0.000207640978452i,0.000074196719760-0.000014147502877i,0.000002383716187+0.000023685461085i,-0.000006670714188-0.000000000000000i,0.000000469380159-0.000001570035305i,0.000001325490226+0.000001158959682i,0.000001771826020+0.000005781236046i,-0.000002511364723+0.000022846503870i,-0.000040598488275+0.000070305598412i,-0.000213041353910+0.000154939502543i,-0.000768014224106+0.000159162770017i,-0.002083634157878-0.000483906401568i,-0.004179572508205-0.003311499597331i,-0.005264677049740-0.010922556588142i,0.000306336085767-0.025100154335806i,0.021935163245636-0.041840919589394i,0.066234531501749-0.046154515025371i,0.124231797298838-0.015142591895526i,0.163787197184890+0.064142231323329i,0.143718255296851+0.171870613874436i,0.048672752847359+0.253902437046581i,-0.085762043919971+0.256247069296632i,-0.190509146637212+0.170719660836867i,-0.214534524616698+0.045579223860535i,-0.161850735862945-0.052745642461807i,-0.079620174795909-0.088794170342587i,-0.015536735873763-0.072554088643810i,0.011519952447717-0.035819819029378i,0.008271526129991-0.002547911665236i,-0.012744356830314+0.021246264131237i,-0.046624852858717+0.039578643272151i,-0.096021687777090+0.055336333726979i,-0.163606243680526+0.065350833907773i,-0.244883533443952+0.062309281031849i,-0.325779006484057+0.040267372440083i
-0.040180695314830+0.000000000000000i,-0.031215355672466-0.020872447309929i,-0.013776819941419-0.035851452167174i,0.005645091699179-0.040236059321281i,0.020133186090431-0.034613820024731i,0.026357739232726-0.023548862579220i,0.024770876909671-0.011435338521863i,0.016253095128943-0.003125132909936i,0.009861561142374-0.005030430339002i,0.018026802432756-0.000105840994352i,0.001848307382602+0.026183035314001i,-0.044574223659061-0.007933412049891i,0.026440358243469-0.073283980246879i,0.104951516882192+0.056128098929765i,-0.097219144715434+0.131363528778681i,-0.144077948341309-0.142870180871398i,0.181235257076961-0.137662357432518i,0.113385737846945+0.200638844129785i,-0.195196173758263+0.079077791124748i,-0.045066391539450-0.167679152398620i,0.127672025457098-0.019178446997741i,0.004054608562648+0.086482409367449i,-0.052340815890356-0.002157035727263i,0.003178205317271-0.028462400291795i,0.014012864721641+0.002242552492323i,-0.001142362015633+0.006308653981327i,-0.002627971268605-0.000450859688980i,0.000137654207335-0.001024704887238i,0.000376982538908+0.000030467195954i,-0.000003705994308+0.000131022567741i,-0.000042769311022+0.000000312754994i,-0.000000221574689-0.000012976365262i,0.000003627534947+0.000000000000000i,0.000000019221867+0.000000964878831i,-0.000000117372641+0.000000403412283i,-0.000000874303395+0.000002015286302i,-0.000008632977356+0.000005501600745i,-0.000041730166372-0.000000846690386i,-0.000125472919960-0.000085794734812i,-0.000191532288665-0.000457436932155i,0.000252694791861-0.001430182466954i,0.002590730562781-0.002812228762395i,0.008761583332246-0.002310307454748i,0.018421304180006+0.005908774811068i,0.023765828243381+0.028675035903443i,0.007948989779553+0.064203495741408i,-0.043810908648920+0.091507141138342i,-0.122253158471609+0.075542913605137i,-0.183918892066759-0.003417861332583i,-0.176616527701072-0.118800222565800i,-0.087449916759823-0.204848012191983i,0.036399963881780-0.207679727916757i,0.123458362091668-0.131862101281229i,0.136258366132352-0.032922532778362i,0.092933461812600+0.033514429513531i,0.038288461327093+0.050963457919166i,0.003638641826393+0.038286848997224i,-0.007048014652575+0.021592469783179i,-0.005411415450820+0.014669241571946i,-0.003317972703267+0.017996155201850i,-0.006660772355054+0.025916726546138i,-0.016025841478288+0.031862058500810i,-0.028385552590718+0.030466162498523i,-0.038326119400493+0.019197408854943i
0.063551770417614+0.000000000000000i,0.083732310488433+0.013173886606110i,0.095025229312875+0.028903580644430i,0.093992013541264+0.042431593012936i,0.081546363999748+0.049570787879019i,0.062081856278687+0.048684406850836i,0.041510411323523+0.040694724634703i,0.025699933091362+0.029797900313800i,0.013352745871147+0.022524359245407i,-0.001073454992403+0.011336783486657i,0.005178943701452-0.008155188744113i,0.025371815010962+0.014275688191262i,-0.030045687632950+0.038296272683248i,-0.046265558690451-0.061725608112972i,0.106746928516713-0.043393126144599i,0.020989574128904+0.156804089395147i,-0.198510963671031-0.023382089260470i,0.081953755494421-0.217191119004597i,0.204535151376274+0.138512981463613i,-0.175486047979693+0.163843004523740i,-0.108652079107817-0.182642260482267i,0.161628173186245-0.055640803690755i,0.016761862828881+0.123588983415370i,-0.082320554340283-0.004502889227469i,0.011623190099951-0.047942695145986i,0.024430053496295+0.010786144795638i,-0.007265915890470+0.010869300322701i,-0.004198829209630-0.003983060251721i,0.001850712781590-0.001392604576836i,0.000387660257511+0.000742873166467i,-0.000260221210793+0.000085941794420i,-0.000012810277532-0.000079999402331i,0.000021644000201-0.000000000000000i,-0.000000834460525+0.000005109561743i,-0.000000808638659-0.000000667300736i,0.000002614131685-0.000000493013566i,0.000011071137079+0.000006466931967i,0.000023489149164+0.000050285975886i,-0.000031034919428+0.000208264740084i,-0.000465680229572+0.000529975037981i,-0.002017255207960+0.000590450587038i,-0.005384254761231-0.001518360348903i,-0.009002907288442-0.009850290025147i,-0.005354224639600-0.028092537697456i,0.019485350080210-0.051600931781228i,0.075577565842397-0.058986559354026i,0.149292016072938-0.017675239928178i,0.193908134011366+0.087777322843477i,0.154783322415410+0.224014705204477i,0.020537155206697+0.314218294535949i,-0.149872835499494+0.293273363037844i,-0.263685879856351+0.166148706356078i,-0.266823067367122+0.007403045410740i,-0.181106929466512-0.100145489115661i,-0.074046681575329-0.124961318956221i,-0.000700981402991-0.092178117717323i,0.025824180383876-0.045799605836553i,0.022520796801771-0.013694391763293i,0.010762327022686-0.000540511815348i,0.002512326667799+0.000613787639059i,0.001204682086764-0.002969341483323i,0.007235644008751-0.007143152446050i,0.020677501981886-0.009447012529935i,0.040589701095826-0.007629588379153i
